code,split,id,intent_index,domain,query,detail
mixed_domain_example,train,10118,,,空调打开调到一挡然后播放音乐打开高德地图,"{""domains"": [""地图"", ""车载控制"", ""音乐""]}"
mixed_domain_example,train,10144,,,关闭空调关闭广播,"{""domains"": [""收音机"", ""车载控制""]}"
mixed_domain_example,train,10253,,,关闭大灯关闭歌曲,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,10346,,,播放音乐打开空调关闭车窗,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,10384,,,打开香氛导航到蒙城县,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,10405,,,播放李健的传奇多媒体音量调到百分之二十,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,10516,,,打开主副驾座椅按摩播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,10528,,,打开音乐律动导航去公司,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,10546,,,关闭空调关闭QQ音乐打开前排两个车窗,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,10613,,,座椅通风空调温度调到二十度风速调到三挡放点音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,10691,,,随机播放温度调到二十五度,"{""domains"": [""播放控制"", ""车载控制""]}"
mixed_domain_example,train,10780,,,空调调到二十一度同步同时打开座椅通风然后打开音乐让我听下音乐休息会儿IQ,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,10887,,,导航去公司开启座椅加热开启座椅按摩,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,10890,,,暂停播放关闭空调,"{""domains"": [""播放控制"", ""车载控制""]}"
mixed_domain_example,train,10934,,,继续播放视频打开座椅通风,"{""domains"": [""影视"", ""车载控制""]}"
mixed_domain_example,train,10992,,,打开座椅按摩打开座椅通风导航去上班,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,11045,,,导航去凯里打开主驾驶座椅按摩,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,11078,,,打开车窗通风播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,11102,,,打开空调导航到春熙路,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,11134,,,石家庄今天天气怎么样打开主副驾驶座椅通风,"{""domains"": [""天气"", ""车载控制""]}"
mixed_domain_example,train,11263,,,打开遮阳帘播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,11270,,,去公司打开空调主驾按摩,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,11376,,,关闭行人警示音导航到天虹口腔,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,11445,,,查询极氪的股票关闭所有车窗播放我喜欢的音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,11536,,,打开空调关闭所有窗户播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,11538,,,打开座椅通风我要去重庆市肿瘤医院,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,11585,,,打开空调打开制冷播放网易云音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,11599,,,关闭副驾驶窗户主驾驶窗户,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,11638,,,打开主驾车窗关闭副驾车窗打开后排车窗打开遮阳帘播放一首蔡琴演唱的渡口,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,11712,,,导航去公司关闭车外低速报警,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,11732,,,打开前排座椅按摩打开前排座椅通风我要去嘉定卫生医院,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,1175,,,打开车窗打开遮阳帘打开氛围灯播放周杰伦的音乐打开手机无线充电,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,11779,,,保存挡位导航到横店,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,11810,,,导航去保利凯旋公馆把所有的车窗都关闭,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,11846,,,关闭空调导航去公司,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,1185,,,请播放杨宗纬的歌曲并且将音量调小,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,11865,,,关闭空调播放蓝牙音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,12006,,,打开主副驾车窗播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,12113,,,播放音乐打开主驾副驾的座椅按摩,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,12139,,,关掉报警关掉空调,"{""domains"": [""打电话"", ""车载控制""]}"
mixed_domain_example,train,12144,,,选择杨宗纬的歌进行播放并降低音量,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,12259,,,打开车窗播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,12360,,,导航到郑东商业中心B区打开主驾座椅按摩,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,12403,,,播放陈奕迅的哥打开座椅按摩,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,12465,,,打开天窗关闭所有车窗导航到火车站空调设置到二十度,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,12530,,,播放音乐时播报声音放大一些,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,12532,,,播放音乐空调风量调大,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,12557,,,关闭低速行驶提示音导航到公司,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,12758,,,开始导航关闭空调,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,12839,,,打开座椅加热播放蓝牙音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,12850,,,副驾调整腿托至百分之五十向上,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,12895,,,导航到茶山镇巡警大队打开全车座椅通风,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,12927,,,播放蓝牙音乐打开主驾座椅通风,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,12943,,,打开空调打开空调播放歌曲,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,12953,,,音量调到百分之四十播放一首安和桥,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,1301,,,停止播放音乐空调温度调到二十二风速调到四,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,13182,,,我要听日落大道然后帮我开启氛围灯并调到红色,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,13198,,,开启主驾座椅按摩导航去公司,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,13209,,,打开座椅通风放一首歌曲,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,13219,,,关闭全车氛围灯导航去公司,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,13300,,,遮阳帘全开继续播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,13324,,,导航回家打开空调,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,13345,,,关闭低速提示音打开蓝牙音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,13413,,,导航到国际科创中心打开空调内循环,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,13451,,,暂停音乐关闭空调,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,13458,,,风量调到三打电话给老公嗯,"{""domains"": [""打电话"", ""车载控制""]}"
mixed_domain_example,train,13493,,,打开主驾驶座椅按摩播放音乐关闭副驾驶车窗,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,13527,,,导航去八佰伴关闭车外音响,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,13538,,,打开座椅按摩导航去欢乐谷,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,13573,,,关闭低速提示音然后导航去公司,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,13673,,,打开座椅通风导航至南京万通汽车技工学校,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,13725,,,播放音乐打开氛围灯,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,13765,,,放首歌副驾座椅通风,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,13821,,,声音放大播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,13917,,,打开座椅通风空调风速调大一挡播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14007,,,关闭前排车窗打开后备箱播放音乐打开空调打开主驾座椅通风,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14066,,,关闭副驾屏来首歌听听,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14180,,,打开按摩通风播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14191,,,导航到银泰复材科技关闭空调,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,14198,,,关闭大灯播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14200,,,关闭所有车窗开启空调播放QQ音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,1421,,,打开所有车窗打开天窗放首歌,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14252,,,导航慈铭健康体检关闭空调,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,14306,,,空调对着我吹导航到锦博樾,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,14413,,,放首歌黑打开个性化模式,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14511,,,开启副驾驶座椅加热播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14587,,,关闭所有车窗打开空调放一首世界赠予我的打开全车座椅律动,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14589,,,我要去张家干了心主驾我要改个空气净化,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,14628,,,打开遮阳帘打开全车窗户播放音乐关闭空调,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14657,,,关闭低速行驶提示音安全带,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14658,,,导航到公司空调调到二十三度,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,14669,,,打开遮阳帘播放周杰伦稻香打开主驾驶窗户打开主驾副驾座椅通风,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14697,,,空调制热并播放朴树,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14717,,,打开香氛播放艾米纳姆的歌曲,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14752,,,播放歌曲并关闭空调,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14771,,,关闭后视镜关闭QQ音乐关闭空调,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14852,,,帮我导航南平谷新店帮我打开车窗,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,14873,,,打开空调播放蓝牙音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,14920,,,播放音乐打开空调,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,1494,,,打开座椅按摩放一首深夜港湾,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,15023,,,放一首音乐打开前排座椅按摩,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,1508,,,导航到家打开HUD,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,15131,,,车门开启音乐切换下一首导航去虹桥机场明天杭州天气如何,"{""domains"": [""地图"", ""天气"", ""车载控制"", ""音乐""]}"
mixed_domain_example,train,15144,,,关闭广播关闭所有车窗,"{""domains"": [""收音机"", ""车载控制""]}"
mixed_domain_example,train,15146,,,开空调放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,15167,,,开始导航然后帮我打开座椅按摩,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,15235,,,关闭前排车窗播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,15236,,,导航回家打开流媒体,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,15269,,,打开天窗打开左侧车窗打开右后车窗我饿了放首音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,15324,,,播放收音机并打开空调,"{""domains"": [""收音机"", ""车载控制""]}"
mixed_domain_example,train,15373,,,播放音乐空调调小一点,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,15445,,,打开空调打开座椅通风打开QQ音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,15474,,,打开座椅按摩导航回家,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,15535,,,导航去公司打开无线充电,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,15673,,,关闭车外低速警示音放首歌听,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,15715,,,打开主副驾车窗打开遮阳帘帮我导航去万达,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,15772,,,打开氛围灯帮我导航回家吧,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,15821,,,打开主副驾驶车窗打开天窗遮阳帘播放周杰伦的音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,15831,,,风速再大一点太热了,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,15942,,,来首轻音乐音量调到百分之五十,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,1596,,,播放音乐多媒体音量调到百分之二十,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,16019,,,暂停音乐播放返回主界面,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,16125,,,打开所有座椅通风导航到宝龙广场魔方音乐,"{""domains"": [""地图"", ""车载控制"", ""音乐""]}"
mixed_domain_example,train,16225,,,打开空调导航去橡树湾十一号楼,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,1624,,,设置倒车雷达声音地图最小主驾座椅调到最后,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,16248,,,导航回家打开按摩,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,16263,,,呼叫李家挡运动模式,"{""domains"": [""打电话"", ""车载控制""]}"
mixed_domain_example,train,16269,,,打开座椅通风调到二挡导航去景花园,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,16274,,,打开座椅通风打开前排车窗导航到徐州乐园,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,16298,,,座椅按摩开启且导航去欢乐谷,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,16337,,,打开遮阳帘座椅通风导航去上虞万达广场我要听歌,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,16375,,,导航到公司播放音乐打开座椅按摩,"{""domains"": [""地图"", ""车载控制"", ""音乐""]}"
mixed_domain_example,train,16443,,,打开座椅按摩导航去公司,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,16451,,,打开单踏板模式打开QQ音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,16486,,,把声音调大点啊放首陈奕迅的十年,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,16521,,,打开座椅按摩导航到公司,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,16560,,,打开天窗播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,16581,,,请查看胎压跟那个到成都,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,16596,,,关闭所有车窗播放林俊杰的歌,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,16625,,,导航去上班打开空调,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,16773,,,去江北区中信银行大厦打开空调,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,16795,,,导航到大悦城打开车窗,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,16802,,,前排座椅通风打开高德地图导航到龙湾机场,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,16839,,,打开天窗打开窗户播放网易云,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,1684,,,打开遮阳帘播放一首音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,16869,,,打开天窗打开前排车窗播放音乐打开空调打开前排座椅通风,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,16894,,,关闭低速报警打开座椅通风按摩导航到一号公路北段施工处,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,16899,,,关闭前排车窗导航到零跑汽车,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,16951,,,播放每日推荐并打开扫风,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,16975,,,打开空调导航回家,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,17007,,,那个视频放打开后排通风,"{""domains"": [""影视"", ""车载控制""]}"
mixed_domain_example,train,17077,,,打开后视镜加热导航到中国银行义乌市分行,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,1711,,,去公司关闭空调,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,17113,,,挡风量大一点导航到天安门,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,17116,,,空调温度调到二十度导航去武汉火车站风速调到第三挡,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,17135,,,关闭所有车窗打开座椅通风打开QQ音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,17142,,,打开天窗播放音乐导航到安庆市政府,"{""domains"": [""地图"", ""车载控制"", ""音乐""]}"
mixed_domain_example,train,1720,,,关闭车窗放首音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,17292,,,风挡减低挡拨打一下波波,"{""domains"": [""打电话"", ""车载控制""]}"
mixed_domain_example,train,17302,,,打开流媒体播放QQ音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,17329,,,播放音乐打开香氛,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,17354,,,关闭座椅加热关闭方向盘加热播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,17363,,,空调温度调到二十度导航回家,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,17385,,,空调调到二十三度打开副驾车窗打开主驾车窗遮阳帘打开百分之三十导航大沙地今天广州天气怎么样,"{""domains"": [""地图"", ""天气"", ""车载控制""]}"
mixed_domain_example,train,17412,,,关闭无线充电导航到时代艺境,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,17422,,,多媒体音量调到百分之二十播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,17469,,,关闭氛围灯放首歌,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,17492,,,导航去蓝石大厦把所有窗户都打开,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,17514,,,把空调风量调成两格播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,17690,,,音乐暂停播放车窗打开一下,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,17706,,,打开无线充电导航到公司,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,17824,,,回到主页播放音乐,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,17879,,,关闭前排玻璃打开遮阳帘空调调到十八摄氏度播放周杰伦的等你下课,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,17881,,,导航去公司打开HUD,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,17894,,,播放音乐空调调到最低,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,17906,,,导航小站派出所关闭空调,"{""domains"": [""地图"", ""车载控制""]}"
mixed_domain_example,train,17931,,,播放XO的歌关闭空调,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,17964,,,放首音乐关闭遮阳帘,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,17970,,,打开空调播放音乐打开主驾座椅加热通风,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,1805,,,打开空调播放音乐打开座椅加热座椅通风打开座椅按摩,"{""domains"": [""车载控制"", ""音乐""]}"
mixed_domain_example,train,18090,,,开启蓝牙音乐关闭座椅按摩,"{""domains"": [""车载控制"", ""音乐""]}"
